Series_id,Daily,Weekly,Monthly,Yearly
AAA10Y,0.185864828,0.209135075,0.348052356,0.255613291
ASEANTOT,-0.155974543,-0.144441151,-0.121277647,0.575924523
BAA10Y,-0.015162803,-0.019474859,0.085962635,0.15180848
BUSAPPWNSAUS,0.306445654,0.319719595,0.280780668,0.204660907
BUSAPPWNSAUSYY,0.4918209,0.486975962,0.457518139,0.516850068
CBUSAPPWNSAUS,-0.058405931,-0.019881547,0.00467372,-0.151099592
CBUSAPPWNSAUSYY,0.376003154,0.393142601,0.413499378,0.310640654
CUUR0000SA0R,-0.556851342,-0.565270908,-0.587315021,0.313997365
DEXCHUS,-0.148992464,-0.155448505,-0.175879478,-0.586510523
DEXUSEU,0.387270694,0.394600432,0.426992837,0.732295571
DEXUSUK,0.308935559,0.309222508,0.292355063,0.348564392
DFII10,-0.804175476,-0.7931118,-0.753589897,-0.785431193
DFII20,-0.764428892,-0.753521576,-0.717674944,-0.742332627
DFII30,-0.751544716,-0.741300191,-0.71098507,-0.730798004
DFII5,-0.862707797,-0.850959715,-0.806027241,-0.822676245
DFII7,-0.836051055,-0.824873622,-0.782844236,-0.807014572
DLTIIT,-0.773780666,-0.76275631,-0.727981745,-0.755737415
DPCREDIT,-0.61060592,-0.598260493,-0.598199421,-0.686265242
DPRIME,-0.612057711,-0.601900426,-0.605106409,-0.672581414
EECTOT,-0.429310848,-0.397065113,-0.319082358,-0.68803821
EFFR,-0.623443966,-0.612217627,-0.610367843,-0.662716764
EFFRVOL,-0.399622434,-0.408997848,-0.385028032,-0.251569802
FRGSHPUSM649NCIS,-0.696904679,-0.680551969,-0.624928566,-0.605442342
GVIPT50002S,-0.641463841,-0.622223928,-0.56487141,-0.73383301
GVIPT50030S,-0.639863667,-0.620347433,-0.561517185,-0.735068677
GVIPT51000S,-0.640892732,-0.620739063,-0.560866893,-0.73527899
GVIPT51100S,-0.631190547,-0.610560543,-0.552796153,-0.732644061
GVIPT51110S,-0.627902941,-0.607385517,-0.551031622,-0.732010694
GVIPT51120S,-0.655153737,-0.633745574,-0.564946666,-0.735685382
GVIPT51200S,-0.653666401,-0.634359309,-0.571454319,-0.737570325
GVIPT52000S,-0.640439208,-0.623256248,-0.571624264,-0.72965932
GVIPT52100S,-0.650111987,-0.633492247,-0.584133511,-0.729284395
GVIPT521A3S,-0.635729483,-0.618503716,-0.567079288,-0.730664878
GVIPT52300S,-0.135321443,-0.119631218,-0.070009205,-0.722326123
GVIPT54000S,-0.629986031,-0.609201803,-0.543422302,-0.738846847
GVIPT54100S,-0.598880272,-0.575167342,-0.499072678,-0.73935155
GVIPT54200S,-0.642029021,-0.622927585,-0.563072395,-0.736711519
GVIPT54220S,-0.63194204,-0.613136447,-0.553596813,-0.734123933
INFECTDISEMVTRACKD,0.41835354,0.445328811,0.544243161,0.569005085
IOER,-0.630295327,-0.619779602,-0.620298205,-0.667904474
IORR,-0.630295327,-0.619779602,-0.620298205,-0.667904474
MEDCPIM158SFRBCLE,-0.537818552,-0.527117259,-0.489135081,-0.62981239
MORTGAGE15US,-0.791650885,-0.784128923,-0.757173109,-0.833053993
MORTGAGE30US,-0.796444731,-0.788351228,-0.756911201,-0.833942743
OBFR,-0.624089781,-0.613065333,-0.612335804,-0.663929115
OBFRVOL,0.131773551,0.116685027,0.157213673,0.041165115
PCUADLVWRADLVWR,0.651220704,0.650192749,0.646341738,0.50965318
PCUAINFOAINFO,0.664434942,0.67255065,0.695610067,0.398542185
PCUAMUMAMUM,-0.636219612,-0.620614448,-0.580214933,-0.715368575
PCUARETTRARETTR,0.672321956,0.662358781,0.636778681,0.736441215
PCUASHCASHC,0.690124892,0.686878238,0.67758793,0.542912249
PCUASTDSVASTDSV,-0.194312905,-0.182691768,-0.142105923,-0.646912521
PCUATRADEATRADE,0.67248364,0.665617444,0.649481107,0.71471978
PCUATRANSATRANS,-0.457530483,-0.447497614,-0.42529819,-0.759324254
PCUATRNWRATRNWR,-0.359709935,-0.350045792,-0.329732802,-0.76415051
PCUATTDSVATTDSV,0.220264183,0.229989776,0.265779819,-0.625011095
PCUAWHLTRAWHLTR,0.588846415,0.586306833,0.582451326,0.396376987
PCUOMFGOMFG,-0.617677802,-0.600029629,-0.553121022,-0.744343725
PCUOMINOMIN,-0.677126694,-0.665045929,-0.636977853,-0.74691222
SFTPAGRM158SFRBSF,-0.381454343,-0.395796106,-0.427610559,-0.035994778
SOFR,-0.616685236,-0.605984776,-0.603987991,-0.646899219
SOFRVOL,0.045353869,0.055852696,0.113647755,-0.406202591
SP500_NORM,0.992014921,0.967015594,0.84738768,0.634272832
T10YIE,0.017170243,0.005213965,-0.059465655,0.194741569
TEDRATE,-0.56076595,-0.568042544,-0.367341469,-0.213583594
TLAACBW027NBOG,0.723538714,0.706414145,0.664883703,0.763367079
TLBACBW027NBOG,0.721202666,0.703201936,0.659922839,0.766146032
TSIFRGHT,-0.251489405,-0.256094537,-0.263045613,-0.305373516
UNRATE,0.639862279,0.615829073,0.53130368,0.734927865
WLEMUINDXD,0.338703909,0.375742274,0.501889828,0.51821054
FT3 (TI),0.837473134,0.850048628,0.885215618,0.750526901
FT5 (TI),0.835728459,0.853069061,0.900495311,0.771183119
FT10 (TI),0.905926906,0.924008009,0.936246011,0.698863498
FT100 (TI),0.927732149,0.917879574,0.853692804,0.690229441
MA7 (TI),0.987724114,0.99497667,0.883967807,0.637850771
MA21 (TI),0.95421419,0.975731374,0.954535698,0.64530766
EMA26 (TI),0.961815448,0.978370566,0.949987276,0.668195903
EMA12 (TI),0.983374571,0.992101577,0.9118554,0.646944404
MACD (TI),0.548309553,0.492968999,0.092332294,0.137201648
EMA (TI),0.999121994,0.978687493,0.860842824,0.635575139
MOMENTUM (TI),0.095353971,-0.025044463,-0.02754929,0.030218108
